review_title,review,translated_review,sentiment_review,category,fragment,subcategory,subcategory_fragment,subcategory_sentiment,image,name,sex,idiom,date,rate,CDS_Typography_appearance-inherit__8be6e7 URL,nota_media usuario,num_reviews_usuario
La compañía actúa en perjuicio del asegurado,"#bailando en el tejado!!! Aspectos destacados del hotel: De lujo, Buenas vistas, Romántico y Tranquilo","#dancing on the roof!!! Hotel highlights: Luxurious, Good views, Romantic, and Quiet",Positive,Entertainment,"#dancing on the roof!!! Hotel highlights: Luxurious, Good views, Romantic, and Quiet",Dance performances,#dancing on the roof!!!,Positive,https://user-images.trustpilot.com/696f76a1c37c285596184730/73x73.png,Mari Carmen Muelas Gamo Muelas,F,ES,20 de enero de 2026,1,https://es.trustpilot.com/reviews/696f8c012a2157ef1ca3b091,1.2,5
La compañía actúa en perjuicio del asegurado,"#bailando en el tejado!!! Aspectos destacados del hotel: De lujo, Buenas vistas, Romántico y Tranquilo","#dancing on the roof!!! Hotel highlights: Luxurious, Good views, Romantic, and Quiet",Positive,Entertainment,"#dancing on the roof!!! Hotel highlights: Luxurious, Good views, Romantic, and Quiet",Activities,#dancing on the roof!!!,Positive,https://user-images.trustpilot.com/696f76a1c37c285596184730/73x73.png,Mari Carmen Muelas Gamo Muelas,F,ES,20 de enero de 2026,1,https://es.trustpilot.com/reviews/696f8c012a2157ef1ca3b091,1.2,5
La compañía actúa en perjuicio del asegurado,"#bailando en el tejado!!! Aspectos destacados del hotel: De lujo, Buenas vistas, Romántico y Tranquilo","#dancing on the roof!!! Hotel highlights: Luxurious, Good views, Romantic, and Quiet",Positive,Location,"#dancing on the roof!!! Hotel highlights: Luxurious, Good views, Romantic, and Quiet",Surroundings/Views,"#dancing on the roof!!! Hotel highlights: Luxurious, Good views, Romantic, and Quiet",Positive,https://user-images.trustpilot.com/696f76a1c37c285596184730/73x73.png,Mari Carmen Muelas Gamo Muelas,F,ES,20 de enero de 2026,1,https://es.trustpilot.com/reviews/696f8c012a2157ef1ca3b091,1.2,5
La compañía actúa en perjuicio del asegurado,"#bailando en el tejado!!! Aspectos destacados del hotel: De lujo, Buenas vistas, Romántico y Tranquilo","#dancing on the roof!!! Hotel highlights: Luxurious, Good views, Romantic, and Quiet",Positive,Facilities & Amenities,"#dancing on the roof!!! Hotel highlights: Luxurious, Good views, Romantic, and Quiet",,,Positive,https://user-images.trustpilot.com/696f76a1c37c285596184730/73x73.png,Mari Carmen Muelas Gamo Muelas,F,ES,20 de enero de 2026,1,https://es.trustpilot.com/reviews/696f8c012a2157ef1ca3b091,1.2,5
La compañía actúa en perjuicio del asegurado,"#bailando en el tejado!!! Aspectos destacados del hotel: De lujo, Buenas vistas, Romántico y Tranquilo","#dancing on the roof!!! Hotel highlights: Luxurious, Good views, Romantic, and Quiet",Positive,Experience,"#dancing on the roof!!! Hotel highlights: Luxurious, Good views, Romantic, and Quiet",,,Positive,https://user-images.trustpilot.com/696f76a1c37c285596184730/73x73.png,Mari Carmen Muelas Gamo Muelas,F,ES,20 de enero de 2026,1,https://es.trustpilot.com/reviews/696f8c012a2157ef1ca3b091,1.2,5
Pésima atención llevo con ellos muchos…,"*****Personal de recepción, restaurante y limpieza extremadamente amable. ****Buena comida bajo un viejo pino con música en vivo. ***Habitaciones oxidadas y mal renovadas: papel pintado descascarillado, suelos deformados y ni siquiera una silla. *Relación calidad-precio: Habitaciones de dos a tres estrellas por 180 € por noche en temporada baja.","*****Extremely friendly reception, restaurant and cleaning staff. ****Good food under an old pine tree with live music. ***Rusty and poorly renovated rooms: peeling wallpaper, warped floors and not even a chair. *Value for money: Two to three star rooms for €180 per night in low season.",Negative,Food,****Good food under an old pine tree with live music.,Meal,****Good food under an old pine tree with live music.,Positive,https://user-images.trustpilot.com/685553342f24787795253c5d/73x73.png,conchi Ru,F,ES,19 de enero de 2026,4,https://es.trustpilot.com/reviews/696f76a725223e7c80233338,3.5,10
Pésima atención llevo con ellos muchos…,"*****Personal de recepción, restaurante y limpieza extremadamente amable. ****Buena comida bajo un viejo pino con música en vivo. ***Habitaciones oxidadas y mal renovadas: papel pintado descascarillado, suelos deformados y ni siquiera una silla. *Relación calidad-precio: Habitaciones de dos a tres estrellas por 180 € por noche en temporada baja.","*****Extremely friendly reception, restaurant and cleaning staff. ****Good food under an old pine tree with live music. ***Rusty and poorly renovated rooms: peeling wallpaper, warped floors and not even a chair. *Value for money: Two to three star rooms for €180 per night in low season.",Negative,Staff,"*****Extremely friendly reception, restaurant and cleaning staff.",Cleaners,"*****Extremely friendly reception, restaurant and cleaning staff.",Positive,https://user-images.trustpilot.com/685553342f24787795253c5d/73x73.png,conchi Ru,F,ES,19 de enero de 2026,4,https://es.trustpilot.com/reviews/696f76a725223e7c80233338,3.5,10
Pésima atención llevo con ellos muchos…,"*****Personal de recepción, restaurante y limpieza extremadamente amable. ****Buena comida bajo un viejo pino con música en vivo. ***Habitaciones oxidadas y mal renovadas: papel pintado descascarillado, suelos deformados y ni siquiera una silla. *Relación calidad-precio: Habitaciones de dos a tres estrellas por 180 € por noche en temporada baja.","*****Extremely friendly reception, restaurant and cleaning staff. ****Good food under an old pine tree with live music. ***Rusty and poorly renovated rooms: peeling wallpaper, warped floors and not even a chair. *Value for money: Two to three star rooms for €180 per night in low season.",Negative,Value,*Value for money: Two to three star rooms for €180 per night in low season.,Value,*Value for money: Two to three star rooms for €180 per night in low season.,Negative,https://user-images.trustpilot.com/685553342f24787795253c5d/73x73.png,conchi Ru,F,ES,19 de enero de 2026,4,https://es.trustpilot.com/reviews/696f76a725223e7c80233338,3.5,10
Pésima atención llevo con ellos muchos…,"*****Personal de recepción, restaurante y limpieza extremadamente amable. ****Buena comida bajo un viejo pino con música en vivo. ***Habitaciones oxidadas y mal renovadas: papel pintado descascarillado, suelos deformados y ni siquiera una silla. *Relación calidad-precio: Habitaciones de dos a tres estrellas por 180 € por noche en temporada baja.","*****Extremely friendly reception, restaurant and cleaning staff. ****Good food under an old pine tree with live music. ***Rusty and poorly renovated rooms: peeling wallpaper, warped floors and not even a chair. *Value for money: Two to three star rooms for €180 per night in low season.",Negative,Facilities & Amenities,"***Rusty and poorly renovated rooms: peeling wallpaper, warped floors and not even a chair.",Maintenance & Equipment,"***Rusty and poorly renovated rooms: peeling wallpaper, warped floors and not even a chair.",Negative,https://user-images.trustpilot.com/685553342f24787795253c5d/73x73.png,conchi Ru,F,ES,19 de enero de 2026,4,https://es.trustpilot.com/reviews/696f76a725223e7c80233338,3.5,10
Pésima atención llevo con ellos muchos…,"*****Personal de recepción, restaurante y limpieza extremadamente amable. ****Buena comida bajo un viejo pino con música en vivo. ***Habitaciones oxidadas y mal renovadas: papel pintado descascarillado, suelos deformados y ni siquiera una silla. *Relación calidad-precio: Habitaciones de dos a tres estrellas por 180 € por noche en temporada baja.","*****Extremely friendly reception, restaurant and cleaning staff. ****Good food under an old pine tree with live music. ***Rusty and poorly renovated rooms: peeling wallpaper, warped floors and not even a chair. *Value for money: Two to three star rooms for €180 per night in low season.",Negative,Room,"***Rusty and poorly renovated rooms: peeling wallpaper, warped floors and not even a chair.",Comfort,"***Rusty and poorly renovated rooms: peeling wallpaper, warped floors and not even a chair.",Negative,https://user-images.trustpilot.com/685553342f24787795253c5d/73x73.png,conchi Ru,F,ES,19 de enero de 2026,4,https://es.trustpilot.com/reviews/696f76a725223e7c80233338,3.5,10
Pésima atención llevo con ellos muchos…,"*****Personal de recepción, restaurante y limpieza extremadamente amable. ****Buena comida bajo un viejo pino con música en vivo. ***Habitaciones oxidadas y mal renovadas: papel pintado descascarillado, suelos deformados y ni siquiera una silla. *Relación calidad-precio: Habitaciones de dos a tres estrellas por 180 € por noche en temporada baja.","*****Extremely friendly reception, restaurant and cleaning staff. ****Good food under an old pine tree with live music. ***Rusty and poorly renovated rooms: peeling wallpaper, warped floors and not even a chair. *Value for money: Two to three star rooms for €180 per night in low season.",Negative,Room,"***Rusty and poorly renovated rooms: peeling wallpaper, warped floors and not even a chair.",Equipment,"***Rusty and poorly renovated rooms: peeling wallpaper, warped floors and not even a chair.",Negative,https://user-images.trustpilot.com/685553342f24787795253c5d/73x73.png,conchi Ru,F,ES,19 de enero de 2026,4,https://es.trustpilot.com/reviews/696f76a725223e7c80233338,3.5,10
Pésima atención llevo con ellos muchos…,"*****Personal de recepción, restaurante y limpieza extremadamente amable. ****Buena comida bajo un viejo pino con música en vivo. ***Habitaciones oxidadas y mal renovadas: papel pintado descascarillado, suelos deformados y ni siquiera una silla. *Relación calidad-precio: Habitaciones de dos a tres estrellas por 180 € por noche en temporada baja.","*****Extremely friendly reception, restaurant and cleaning staff. ****Good food under an old pine tree with live music. ***Rusty and poorly renovated rooms: peeling wallpaper, warped floors and not even a chair. *Value for money: Two to three star rooms for €180 per night in low season.",Negative,Entertainment,****Good food under an old pine tree with live music.,Live music,****Good food under an old pine tree with live music.,Positive,https://user-images.trustpilot.com/685553342f24787795253c5d/73x73.png,conchi Ru,F,ES,19 de enero de 2026,4,https://es.trustpilot.com/reviews/696f76a725223e7c80233338,3.5,10
Pésima atención llevo con ellos muchos…,"*****Personal de recepción, restaurante y limpieza extremadamente amable. ****Buena comida bajo un viejo pino con música en vivo. ***Habitaciones oxidadas y mal renovadas: papel pintado descascarillado, suelos deformados y ni siquiera una silla. *Relación calidad-precio: Habitaciones de dos a tres estrellas por 180 € por noche en temporada baja.","*****Extremely friendly reception, restaurant and cleaning staff. ****Good food under an old pine tree with live music. ***Rusty and poorly renovated rooms: peeling wallpaper, warped floors and not even a chair. *Value for money: Two to three star rooms for €180 per night in low season.",Negative,Staff,"*****Extremely friendly reception, restaurant and cleaning staff.",Reception,"*****Extremely friendly reception, restaurant and cleaning staff.",Positive,https://user-images.trustpilot.com/685553342f24787795253c5d/73x73.png,conchi Ru,F,ES,19 de enero de 2026,4,https://es.trustpilot.com/reviews/696f76a725223e7c80233338,3.5,10
Pésima atención llevo con ellos muchos…,"*****Personal de recepción, restaurante y limpieza extremadamente amable. ****Buena comida bajo un viejo pino con música en vivo. ***Habitaciones oxidadas y mal renovadas: papel pintado descascarillado, suelos deformados y ni siquiera una silla. *Relación calidad-precio: Habitaciones de dos a tres estrellas por 180 € por noche en temporada baja.","*****Extremely friendly reception, restaurant and cleaning staff. ****Good food under an old pine tree with live music. ***Rusty and poorly renovated rooms: peeling wallpaper, warped floors and not even a chair. *Value for money: Two to three star rooms for €180 per night in low season.",Negative,Food,****Good food under an old pine tree with live music.,Quality,****Good food under an old pine tree with live music.,Positive,https://user-images.trustpilot.com/685553342f24787795253c5d/73x73.png,conchi Ru,F,ES,19 de enero de 2026,4,https://es.trustpilot.com/reviews/696f76a725223e7c80233338,3.5,10
Pésima atención llevo con ellos muchos…,"*****Personal de recepción, restaurante y limpieza extremadamente amable. ****Buena comida bajo un viejo pino con música en vivo. ***Habitaciones oxidadas y mal renovadas: papel pintado descascarillado, suelos deformados y ni siquiera una silla. *Relación calidad-precio: Habitaciones de dos a tres estrellas por 180 € por noche en temporada baja.","*****Extremely friendly reception, restaurant and cleaning staff. ****Good food under an old pine tree with live music. ***Rusty and poorly renovated rooms: peeling wallpaper, warped floors and not even a chair. *Value for money: Two to three star rooms for €180 per night in low season.",Negative,Staff,"*****Extremely friendly reception, restaurant and cleaning staff.",Housekeeping,"*****Extremely friendly reception, restaurant and cleaning staff.",Positive,https://user-images.trustpilot.com/685553342f24787795253c5d/73x73.png,conchi Ru,F,ES,19 de enero de 2026,4,https://es.trustpilot.com/reviews/696f76a725223e7c80233338,3.5,10
Pésima atención llevo con ellos muchos…,"*****Personal de recepción, restaurante y limpieza extremadamente amable. ****Buena comida bajo un viejo pino con música en vivo. ***Habitaciones oxidadas y mal renovadas: papel pintado descascarillado, suelos deformados y ni siquiera una silla. *Relación calidad-precio: Habitaciones de dos a tres estrellas por 180 € por noche en temporada baja.","*****Extremely friendly reception, restaurant and cleaning staff. ****Good food under an old pine tree with live music. ***Rusty and poorly renovated rooms: peeling wallpaper, warped floors and not even a chair. *Value for money: Two to three star rooms for €180 per night in low season.",Negative,Staff,"*****Extremely friendly reception, restaurant and cleaning staff.",Waiter,"*****Extremely friendly reception, restaurant and cleaning staff.",Positive,https://user-images.trustpilot.com/685553342f24787795253c5d/73x73.png,conchi Ru,F,ES,19 de enero de 2026,4,https://es.trustpilot.com/reviews/696f76a725223e7c80233338,3.5,10
